"日期","收市","開市","高","低","成交量","升跌（%）"
2023-2-27,12057.79,12106.79,12158.29,12035.09,224.90,0.74%
2023-2-24,11969.65,11980.79,12018.32,11901.03,263.14,-1.73%
2023-2-23,12180.14,12224.44,12227.40,12003.72,284.13,0.94%
2023-2-22,12066.27,12085.67,12155.28,12006.10,261.27,0.05%
2023-2-21,12060.30,12206.61,12256.16,12058.40,290.93,-2.41%
2023-2-17,12358.18,12352.30,12384.89,12233.79,265.09,-0.68%
2023-2-16,12442.48,12498.73,12653.08,12440.00,293.43,-1.93%
2023-2-15,12687.89,12529.97,12688.17,12487.15,246.86,0.77%
2023-2-14,12590.89,12410.01,12627.40,12358.59,272.42,0.71%
2023-2-13,12502.31,12357.54,12522.63,12313.83,255.75,1.60%
2023-2-10,12304.92,12309.51,12372.89,12204.28,266.69,-0.62%
2023-2-9,12381.17,12676.53,12679.32,12328.25,308.10,-0.91%
2023-2-8,12495.38,12680.03,12709.45,12471.19,306.44,-1.83%
2023-2-7,12728.27,12474.25,12771.57,12421.54,318.36,2.12%
2023-2-6,12464.51,12468.80,12558.66,12412.76,251.98,-0.87%
2023-2-3,12573.36,12522.69,12828.15,12522.69,343.27,-1.79%
2023-2-2,12803.14,12655.46,12880.43,12604.74,395.33,3.56%
2023-2-1,12363.10,12084.52,12456.80,12010.74,342.54,2.16%
2023-1-31,12101.93,11915.97,12103.30,11915.97,314.29,1.59%
2023-1-30,11912.39,12047.05,12086.56,11906.69,277.93,-2.09%
